t,y_t,u_tm1,z_pos_0,z_pos_1,z_pos_2,z_pos_3,z_pos_4,z_pos_5,z_pos_6,z_pos_7,z_pos_8,z_pos_9,z_neg_0,z_neg_1,z_neg_2,z_neg_3,z_neg_4,z_neg_5,z_neg_6,z_neg_7,z_neg_8,z_neg_9
0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
1,0.0,122.15630916984861,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
2,0.0,86.18930819086695,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
3,0.0,62.003172606345686,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
4,0.0,45.66330875740152,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5,0.0,34.74062618627613,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
6,0.0,25.234596240982906,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,0.0,20.20968495730181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,0.0,7.0340638080535856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0,7.034066964464725,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0.0,7.034065106931844,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
11,0.0,7.034065165483672,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
12,0.0,7.034065179540341,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
13,0.0,3.5492675509453075,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14,0.0,3.5492677973434157,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15,0.0,3.5492675092795607,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
16,4.766106799265779,2.019741235940812,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
17,7.896462757657651,2.0197397123088545,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,9.930492053192442,2.01973973150426,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
19,11.227796918607208,1.05139105782758,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
20,12.035667067145827,1.0513911433232428,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,12.433245282695205,1.051391654832275,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
22,12.615379127755876,1.051391913002484,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
23,12.27456409956752,1.0513946777772953,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
24,11.950370939594706,1.0513954547072317,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
25,11.641988794132338,1.051396451781865,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
26,11.34864662566236,1.0513964438279702,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
27,11.069610924115313,1.0513961036759711,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
28,10.668219485641462,1.051396562807072,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
29,10.286404148236048,9.46602477530253,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
30,9.92321015333112,9.466025207678456,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,9.518052637301981,9.466025525023278,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
32,9.13265482705072,9.466023170516014,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
33,8.766053090550514,8.144237653697436,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
34,8.379549194039113,8.144238797734896,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
35,8.011895318329028,15.637707385164852,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
36,7.66217215367914,15.637707723219286,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
37,7.329505199107546,15.637710591429359,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
38,7.01306271123173,15.637710588871142,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
39,6.712053335915099,15.637711169331917,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
40,6.425724399965665,23.248490890520568,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
41,6.15335989069425,23.248493735483063,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
42,5.894278742014055,22.446355266949137,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
43,5.6478331479696795,22.44635952915426,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
44,5.741715855804857,22.446360017933138,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
45,5.83101986681926,22.446360892890485,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
46,5.915968482203768,22.446365537131086,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
47,5.996774012863566,27.387445312792117,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
48,6.02206721901607,26.58741244487834,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
49,6.046126905584587,25.787269568812036,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
50,6.361381807788649,23.945889448693762,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
51,6.661261560172935,23.945890834369905,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
52,6.946516116360262,25.375933217516366,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
53,7.217858643578726,24.40875484872511,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
54,7.47596766223484,23.4301857428842,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
55,8.018434241110072,23.430185706994397,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
56,8.534444523744796,22.102147358061647,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
57,8.993992084139462,22.102147347564554,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
58,9.431127411840546,20.409403904365863,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
59,9.846943417109,20.40940389829373,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
60,10.242479870636437,18.402143544094372,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
61,10.618725964896223,17.2134953231586,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
62,11.169405764007099,15.955215814296276,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
63,11.662014141690307,14.646912102628809,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
64,12.099378982460207,13.339368101660424,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
65,12.443569153705718,12.034278937645851,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
66,12.770973026282565,10.740326097442262,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
67,13.138204415584683,9.545461814370212,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
68,13.449789842164007,8.47441477914074,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
69,13.70799876540572,4.718697919416185,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
70,13.95361468946159,6.124637266408615,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
71,14.13543642789941,3.481091377116246,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72,14.308390615105777,3.4810923809623753,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
73,14.406864869549125,3.481091781757158,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
74,14.500536477694492,1.799780562984022,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
75,14.511323473481704,1.7997818371798249,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
76,14.475207535035473,1.7997820816741532,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
77,14.391759379063023,1.7997822367724343,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
78,14.261335657725004,1.7997799072782683,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
79,14.086257037601104,0.9786650190432398,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
80,13.86879714285277,0.9786651512341471,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
81,13.611457432570795,0.9786653541491857,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
82,13.320048953074918,0.17866219171210787,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
83,13.001064168593471,0.17866273401363852,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,12.55110167749779,0.17866334496356928,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
85,12.177938892901865,0.17866342994294296,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
86,11.719833668561952,0.17866420198983968,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
87,11.28407053881885,0.17866442067758723,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
88,10.869559804315823,8.40236136476537,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
89,10.409666184298763,8.402368817171642,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
90,9.972201890512993,8.402370811753995,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
91,9.556072991634847,8.4023717905895,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
92,9.160238944688258,8.402371998273786,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
93,8.78370986112485,8.402374760643731,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
94,8.393507321138845,8.40237607522837,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
95,8.022335188746862,17.378174279640348,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
96,7.669265342777959,17.378174528884053,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
97,7.30220162468176,17.378175249386054,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
98,6.953039836520706,14.587120632113928,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
99,6.62090689354773,14.587120666734497,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
100,6.3049722686614125,22.92777896569698,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
101,6.004445987373489,19.14128600272967,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
102,5.71857655430906,19.14128601639787,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
103,5.7675086841687415,25.424707423012293,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
104,5.814054656661275,24.624688137554,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
105,5.858330633109717,24.624688668479298,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
106,5.900447282896673,24.62468870096184,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
107,5.940509887538523,24.624688718633774,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
108,5.978618723673886,24.624690783961395,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
109,6.01486902122976,24.62469091762798,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
110,6.399555246107518,24.624691822312993,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
111,6.765480112135946,24.624692781904184,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
112,7.1135586399701065,25.424699878119394,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
113,7.33576410573541,24.619703864308836,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
114,7.547132484407025,23.46770452609653,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
115,8.073615269835111,23.46770432863294,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
116,8.426685634085072,22.144132455580127,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
117,8.762536554012105,22.144132417961373,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
118,9.327164693776426,20.43342008712935,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
119,9.833041673451488,20.43342007626523,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
120,10.314246762410782,18.41443636275254,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
121,10.7719832035157,17.221757053079994,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
122,11.207395575650434,15.960701066673861,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
123,11.62157271639842,14.650619067781584,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
124,12.015550204848674,13.341856929019347,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
125,12.390313219751054,12.035959504638868,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
126,12.746798864180649,10.741464723221469,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
127,13.117111943762922,9.546211080231444,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
128,13.437956546244514,8.474947373185493,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
129,13.698206436257713,4.7188094546049495,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
130,13.945763781657012,6.124936033867884,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
131,14.12960652328135,3.4811673286539215,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132,14.30448314712755,3.481168331036371,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
133,14.404084997476676,3.4811677339341687,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
134,14.498829207839604,1.7998293612432446,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
135,14.510179090432546,1.79983064284704,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
136,14.474441307664524,1.7998308898051614,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
137,14.391244536174089,1.7998310460476477,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
138,14.26099055667914,1.7998287149597678,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
139,14.086025872565942,0.9786729010562031,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
140,13.86864282164494,0.9786730292811858,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
141,13.611355062844707,0.9786732192243858,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
142,13.319980809681088,0.17867006481068334,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
143,13.00102012852663,0.1786749894438747,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
144,12.55106413699863,0.17867558181654886,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
145,12.177914840123199,0.17867561920868258,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
146,11.719813752211307,0.17867639425195878,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
147,11.284054557103142,0.17867661376855656,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
148,10.869547565422693,8.402324353103415,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
149,10.409656446238841,8.40233182200209,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
150,9.972194531608242,8.402333808780023,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
151,9.556067895948628,8.402330873437,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
152,9.160236001886743,8.402331082726274,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
153,8.78370896614843,8.402333927664213,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
154,8.393506777339187,8.402335235883873,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
155,8.022334978842135,15.799692550971889,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
156,7.669265449977801,15.799693693553548,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
157,7.302202033833843,15.799696687588721,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
158,6.953040703881714,15.799699843072736,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
159,6.620908196045733,15.799699903683592,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
160,6.304973983217843,21.90994593483537,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
161,6.004448094008927,21.909950373573935,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
162,5.718579033933926,21.909950902947312,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
163,5.767509598796833,21.90995234199842,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
164,5.81405408326186,21.90995180581243,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
165,5.858328643950253,21.90995180932739,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
166,5.900443794307201,27.667483027700825,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
167,5.940504972709727,26.43689634256123,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
168,5.978612455385791,26.43689727312643,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
169,6.0148614652430155,25.636897228362674,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
170,6.33796128877278,23.93822595828605,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
171,6.645303392544772,23.9382276316125,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
172,6.9376563618572975,25.375388072111587,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
173,7.215751231723343,24.55298586957608,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
174,7.480283257107443,23.41193935094252,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
175,7.970314075680769,23.411939312820923,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
176,8.436445982403757,22.08111253074924,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
177,8.87984438843156,22.08111244762046,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
178,9.301618055168602,20.39773559384169,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
179,9.702821556528354,20.397735588709857,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
180,10.084458132371605,18.396179091693174,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
181,10.672120561559545,17.209256244379596,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
182,11.183109219207868,15.952369199694258,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
183,11.669176702256435,14.645015537520136,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
184,12.100325224359166,13.338095743033833,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
185,12.444170244572689,12.033421002452577,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
186,12.77124581055511,10.739744648329982,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
187,13.138442626367171,9.545075545701804,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
188,13.455643819182944,8.473471705539822,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
189,13.712855330967859,4.718707095899406,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
190,13.957522487810612,6.1246619993590725,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
191,14.138332936167172,3.481098094500354,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
192,14.310325151657707,3.481099097170292,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
193,14.408249801464597,3.481098498190682,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
194,14.501398609544614,1.7997854250926468,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
195,14.511910846844424,1.7997867117981994,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
196,14.475600868011949,1.7997869532564537,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
197,14.39202246413798,1.7997871094392948,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
198,14.261511914731994,1.799784779478052,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
199,14.08637505552246,0.9805715950477751,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
